timestamp_utc,method,url,status_code,purpose,local_path,headers_path,content_length,sha256,user_agent,retry_attempt,error
2026-07-06T07:19:16.832069+00:00,GET,https://www.sec.gov/files/company_tickers_exchange.json,403,smoke_company_tickers_exchange,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json.headers.json,1925,bc0eb47a93e55ed87be9272970d53feea20ff6bebd826fcf1e241acf6bd8710c,Codex SEC metrics spike 30534800+wlvh@users.noreply.github.com,0,HTTP Error 403: Forbidden
2026-07-06T07:19:18.363333+00:00,GET,https://www.sec.gov/files/company_tickers_exchange.json,403,smoke_company_tickers_exchange,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json.headers.json,1925,a0c6874ef4190bd359488f58f5ac34ff3aa0060ef744e875e228aa74e5f98de9,Codex SEC metrics spike 30534800+wlvh@users.noreply.github.com,1,HTTP Error 403: Forbidden
2026-07-06T07:19:20.769926+00:00,GET,https://www.sec.gov/files/company_tickers_exchange.json,403,smoke_company_tickers_exchange,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json.headers.json,1925,8b45300d51838bc0351ff7f2ab2ab22b349b0049ad40c49e33bcf0410c0436c8,Codex SEC metrics spike 30534800+wlvh@users.noreply.github.com,2,HTTP Error 403: Forbidden
2026-07-06T07:19:25.539503+00:00,GET,https://www.sec.gov/files/company_tickers_exchange.json,403,smoke_company_tickers_exchange,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json.headers.json,1925,0eabe2bacaae50d1d2bc8fc3b1fd05bd4906c76fd6c04271d44743382cf5938b,Codex SEC metrics spike 30534800+wlvh@users.noreply.github.com,3,HTTP Error 403: Forbidden
2026-07-06T07:19:34.061230+00:00,GET,https://www.sec.gov/files/company_tickers_exchange.json,403,smoke_company_tickers_exchange,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json.headers.json,1925,0fabda325995c06a98fd70ed4127a069b2044f08cdd74c71cf8a65ca2274533b,Codex SEC metrics spike 30534800+wlvh@users.noreply.github.com,4,HTTP Error 403: Forbidden
2026-07-06T07:21:08.756347+00:00,GET,https://www.sec.gov/files/company_tickers_exchange.json,200,smoke_company_tickers_exchange,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/company_tickers/company_tickers_exchange.json.headers.json,521876,10cf18f2433682557f1d71c3085c811f20fae4efe660e1cee7e5ce1c341f23f4,lyuhongwang SEC Metrics Research test@example.com,0,
2026-07-06T07:21:13.658014+00:00,GET,https://data.sec.gov/submissions/CIK0001048286.json,200,resolve_submissions_1048286,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0001048286.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0001048286.json.headers.json,147610,c42b3356490d660eb80185691fa7600bbc8d3e37cb0bb2415ad9308e35c0dd49,lyuhongwang SEC Metrics Research test@example.com,0,
2026-07-06T07:21:14.554247+00:00,GET,https://data.sec.gov/submissions/CIK0000092380.json,200,resolve_submissions_92380,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0000092380.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0000092380.json.headers.json,170325,0b2bd43eb53a029a8fe032f7ab7f24b47a9cbbc773b5158edce506b8556ab095,lyuhongwang SEC Metrics Research test@example.com,0,
2026-07-06T07:21:15.449781+00:00,GET,https://data.sec.gov/submissions/CIK0000037996.json,200,resolve_submissions_37996,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0000037996.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0000037996.json.headers.json,160295,b9cca82f891d9c4f1afababbdadf2edd2c9f246f51d1f3ade26edd8f9231cd25,lyuhongwang SEC Metrics Research test@example.com,0,
2026-07-06T07:21:16.448770+00:00,GET,https://data.sec.gov/submissions/CIK0000078003.json,200,resolve_submissions_78003,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0000078003.json,/Users/lyuhongwang/Documents/SEC_metrics/evidence/submissions/CIK0000078003.json.headers.json,146371,4387eb6a422e63a3522dadb8f11d7878b512cbe09cd6d8ec0db97ec6fcefc3eb,lyuhongwang SEC Metrics Research test@example.com,0,
